size	colour	x	y	clickSelects	key	showSelectedlegendcolour	PANEL	fill
2.80498447189992	#FB61D7	0.397192609158217	0.36904327263956	Lesotho	Lesotho	Sub-Saharan Africa (all income levels)	3	#FB61D7
2.80498447189992	#C49A00	0.104186117202597	0.749745348987322	Lithuania	Lithuania	Europe & Central Asia (all income levels)	3	#C49A00
2	#C49A00	0.14435373558851	0.84095341232737	Luxembourg	Luxembourg	Europe & Central Asia (all income levels)	3	#C49A00
2.80498447189992	#C49A00	0.0879019475866861	0.723181000539535	Latvia	Latvia	Europe & Central Asia (all income levels)	3	#C49A00
3.13841995766062	#00C094	0.287545867077751	0.757711233219285	Libya	Libya	Middle East & North Africa (all income levels)	3	#00C094
4.66983145535444	#00C094	0.246726881907202	0.697635522165973	Morocco	Morocco	Middle East & North Africa (all income levels)	3	#00C094
2.80498447189992	#C49A00	0.123509998480144	0.669793500764228	Moldova	Moldova	Europe & Central Asia (all income levels)	3	#C49A00
2	#C49A00	0.150650281173329	0.794471883081296	Montenegro	Montenegro	Europe & Central Asia (all income levels)	3	#C49A00
3.9718012070186	#FB61D7	0.555583298955642	0.557394003974316	Madagascar	Madagascar	Sub-Saharan Africa (all income levels)	3	#FB61D7
2.80498447189992	#C49A00	0.134583233818963	0.763623795925302	Macedonia, FYR	Macedonia, FYR	Europe & Central Asia (all income levels)	3	#C49A00
3.60996894379985	#FB61D7	0.692370323729292	0.363697340027042	Mali	Mali	Sub-Saharan Africa (all income levels)	3	#FB61D7
5.41525987298185	#F8766D	0.216764009813926	0.591379268475609	Myanmar	Myanmar	East Asia & Pacific (all income levels)	3	#F8766D
2.80498447189992	#F8766D	0.192880561043924	0.611099591870519	Mongolia	Mongolia	East Asia & Pacific (all income levels)	3	#F8766D
2	#F8766D	0.0545736804394555	0.851296406710132	Macao SAR, China	Macao SAR, China	East Asia & Pacific (all income levels)	3	#F8766D
2.80498447189992	#FB61D7	0.519866686931411	0.515639332610839	Mauritania	Mauritania	Sub-Saharan Africa (all income levels)	3	#FB61D7
2	#00C094	0.137840067742146	0.846045862530523	Malta	Malta	Middle East & North Africa (all income levels)	3	#00C094
2	#FB61D7	0.16932279566624	0.744196858467469	Mauritius	Mauritius	Sub-Saharan Africa (all income levels)	3	#FB61D7
2	#A58AFF	0.270176086154113	0.724107902483227	Maldives	Maldives	South Asia	3	#A58AFF
3.60996894379985	#FB61D7	0.61496623748833	0.344788768395859	Malawi	Malawi	Sub-Saharan Africa (all income levels)	3	#FB61D7
7.02712641575682	#53B400	0.233482423952928	0.78487717485152	Mexico	Mexico	Latin America & Caribbean (all income levels)	3	#53B400
4.41495341569977	#F8766D	0.286026011246933	0.751661478384659	Malaysia	Malaysia	East Asia & Pacific (all income levels)	3	#F8766D
4.12978872191586	#FB61D7	0.571324662917689	0.363612972568453	Mozambique	Mozambique	Sub-Saharan Africa (all income levels)	3	#FB61D7
2.80498447189992	#FB61D7	0.391113185834944	0.525969025817697	Namibia	Namibia	Sub-Saharan Africa (all income levels)	3	#FB61D7
2	#F8766D	0.238801919360792	0.794931343700372	New Caledonia	New Caledonia	East Asia & Pacific (all income levels)	3	#F8766D
3.60996894379985	#FB61D7	0.767820309616345	0.379643549767661	Niger	Niger	Sub-Saharan Africa (all income levels)	3	#FB61D7
7.45967031971712	#FB61D7	0.591951277764509	0.348568582554109	Nigeria	Nigeria	Sub-Saharan Africa (all income levels)	3	#FB61D7
3.13841995766062	#53B400	0.306218381570662	0.712758579134948	Nicaragua	Nicaragua	Latin America & Caribbean (all income levels)	3	#53B400
3.9718012070186	#C49A00	0.1400112903576	0.842739570234447	Netherlands	Netherlands	Europe & Central Asia (all income levels)	3	#C49A00
3.13841995766062	#C49A00	0.154124237358056	0.852810460561577	Norway	Norway	Europe & Central Asia (all income levels)	3	#C49A00
4.41495341569977	#A58AFF	0.397409731419762	0.586173948294074	Nepal	Nepal	South Asia	3	#A58AFF
2.80498447189992	#F8766D	0.170408406973967	0.852848463921303	New Zealand	New Zealand	East Asia & Pacific (all income levels)	3	#F8766D
2.80498447189992	#00C094	0.348014416918167	0.782322589010804	Oman	Oman	Middle East & North Africa (all income levels)	3	#00C094
2.80498447189992	#53B400	0.251720693922748	0.784081004465281	Panama	Panama	Latin America & Caribbean (all income levels)	3	#53B400
4.54558441227157	#53B400	0.271261697461841	0.725699483188511	Peru	Peru	Latin America & Caribbean (all income levels)	3	#53B400
2	#F8766D	0.219803721475563	0.75600222213245	French Polynesia	French Polynesia	East Asia & Pacific (all income levels)	3	#F8766D
3.13841995766062	#F8766D	0.442571161821221	0.543701393465391	Papua New Guinea	Papua New Guinea	East Asia & Pacific (all income levels)	3	#F8766D
6.33497404836523	#F8766D	0.367338298195714	0.668342532489927	Philippines	Philippines	East Asia & Pacific (all income levels)	3	#F8766D
7.86037541459589	#A58AFF	0.438988644505721	0.611732347809941	Pakistan	Pakistan	South Asia	3	#A58AFF
5.01197609552267	#C49A00	0.0998436719716873	0.776689731032362	Poland	Poland	Europe & Central Asia (all income levels)	3	#C49A00
2.80498447189992	#53B400	0.175673621816445	0.822506581516846	Puerto Rico	Puerto Rico	Latin America & Caribbean (all income levels)	3	#53B400
2.80498447189992	#00C094	0.536910784462731	0.732425697826242	West Bank and Gaza	West Bank and Gaza	Middle East & North Africa (all income levels)	3	#00C094
3.60996894379985	#C49A00	0.121555898126235	0.816669265463083	Portugal	Portugal	Europe & Central Asia (all income levels)	3	#C49A00
2	#F8766D	0.119927481164644	0.725970447143351	Palau	Palau	East Asia & Pacific (all income levels)	3	#F8766D
3.13841995766062	#53B400	0.352465423279849	0.718982769390711	Paraguay	Paraguay	Latin America & Caribbean (all income levels)	3	#53B400
2	#00C094	0.295145146231843	0.816491029705972	Qatar	Qatar	Middle East & North Africa (all income levels)	3	#00C094
4.27683991532123	#C49A00	0.0955012267407777	0.73640616972384	Romania	Romania	Europe & Central Asia (all income levels)	3	#C49A00
3.39427400463467	#C49A00	0.113956618972143	0.751569510254125	Serbia	Serbia	Europe & Central Asia (all income levels)	3	#C49A00
7.91540362105579	#C49A00	0.0846451136635039	0.645692150060218	Russian Federation	Russian Federation	Europe & Central Asia (all income levels)	3	#C49A00
3.39427400463467	#FB61D7	0.581420848079554	0.352275430261687	Rwanda	Rwanda	Sub-Saharan Africa (all income levels)	3	#FB61D7
4.12978872191586	#00C094	0.386445057211716	0.741527502480384	Saudi Arabia	Saudi Arabia	Middle East & North Africa (all income levels)	3	#00C094
2	#F8766D	0.465694682675815	0.606626216397287	Solomon Islands	Solomon Islands	East Asia & Pacific (all income levels)	3	#F8766D
4.54558441227157	#FB61D7	0.533002583754912	0.515317064120371	Sudan	Sudan	Sub-Saharan Africa (all income levels)	3	#FB61D7
3.39427400463467	#C49A00	0.120470286818508	0.868543851487735	Sweden	Sweden	Europe & Central Asia (all income levels)	3	#C49A00
