size	colour	x	y	clickSelects	key	showSelectedlegendcolour	PANEL	fill
3.13841995766062	#00C094	0.179744664220422	0.806476384351236	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	3	#00C094
4.41495341569977	#A58AFF	0.712019888399157	0.353930096544114	Afghanistan	Afghanistan	South Asia	3	#A58AFF
2.80498447189992	#C49A00	0.144787980111601	0.813511946337128	Albania	Albania	Europe & Central Asia (all income levels)	3	#C49A00
2.80498447189992	#C49A00	0.140445534880691	0.763475582822376	Armenia	Armenia	Europe & Central Asia (all income levels)	3	#C49A00
3.9718012070186	#FB61D7	0.629947673534967	0.383877884108223	Angola	Angola	Sub-Saharan Africa (all income levels)	3	#FB61D7
5.01197609552267	#53B400	0.201565451505743	0.792157098440446	Argentina	Argentina	Latin America & Caribbean (all income levels)	3	#53B400
3.39427400463467	#C49A00	0.106357339818052	0.863679421442933	Austria	Austria	Europe & Central Asia (all income levels)	3	#C49A00
4.27683991532123	#F8766D	0.149456108734829	0.887203501112719	Australia	Australia	East Asia & Pacific (all income levels)	3	#F8766D
2	#53B400	0.145439346896237	0.784109506985075	Aruba	Aruba	Latin America & Caribbean (all income levels)	3	#53B400
3.39427400463467	#C49A00	0.170408406973967	0.70149324321166	Azerbaijan	Azerbaijan	Europe & Central Asia (all income levels)	3	#C49A00
2.80498447189992	#C49A00	0.0848622359250494	0.791879293880856	Bosnia and Herzegovina	Bosnia and Herzegovina	Europe & Central Asia (all income levels)	3	#C49A00
2	#53B400	0.116236402718371	0.810223515620122	Barbados	Barbados	Latin America & Caribbean (all income levels)	3	#53B400
7.86037541459589	#A58AFF	0.235653646568383	0.670479461407265	Bangladesh	Bangladesh	South Asia	3	#A58AFF
3.60996894379985	#C49A00	0.14435373558851	0.85820693764253	Belgium	Belgium	Europe & Central Asia (all income levels)	3	#C49A00
3.8	#FB61D7	0.608561130772738	0.444594711840095	Burkina Faso	Burkina Faso	Sub-Saharan Africa (all income levels)	3	#FB61D7
3.39427400463467	#C49A00	0.0965868380485051	0.758182094846277	Bulgaria	Bulgaria	Europe & Central Asia (all income levels)	3	#C49A00
2	#00C094	0.237499185791519	0.786645471179526	Bahrain	Bahrain	Middle East & North Africa (all income levels)	3	#00C094
3.39427400463467	#FB61D7	0.499131510953818	0.371615720059348	Burundi	Burundi	Sub-Saharan Africa (all income levels)	3	#FB61D7
3.39427400463467	#FB61D7	0.565570922986734	0.466074210756677	Benin	Benin	Sub-Saharan Africa (all income levels)	3	#FB61D7
2	#00B6EB	0.143485246542328	0.851915481440053	Bermuda	Bermuda	North America	3	#00B6EB
2	#F8766D	0.189840849382287	0.830909884419243	Brunei Darussalam	Brunei Darussalam	East Asia & Pacific (all income levels)	3	#F8766D
3.39427400463467	#53B400	0.357242113033849	0.635760352029682	Bolivia	Bolivia	Latin America & Caribbean (all income levels)	3	#53B400
8.68670322356242	#53B400	0.177790563866513	0.742110854052164	Brazil	Brazil	Latin America & Caribbean (all income levels)	3	#53B400
2	#53B400	0.154558481881147	0.774116903578979	Bahamas, The	Bahamas, The	Latin America & Caribbean (all income levels)	3	#53B400
2	#A58AFF	0.26963328050025	0.638511795273774	Bhutan	Bhutan	South Asia	3	#A58AFF
2.80498447189992	#FB61D7	0.281032199231387	0.413609052521898	Botswana	Botswana	Sub-Saharan Africa (all income levels)	3	#FB61D7
3.60996894379985	#C49A00	0.0846451136635039	0.700378984704522	Belarus	Belarus	Europe & Central Asia (all income levels)	3	#C49A00
2	#53B400	0.292431117962525	0.788969376626711	Belize	Belize	Latin America & Caribbean (all income levels)	3	#53B400
4.78854800926934	#00B6EB	0.120470286818508	0.878652745174591	Canada	Canada	North America	3	#00B6EB
5.6	#FB61D7	0.649054432550969	0.359777293471407	Congo, Dem. Rep.	Congo, Dem. Rep.	Sub-Saharan Africa (all income levels)	3	#FB61D7
2.80498447189992	#FB61D7	0.505645178800182	0.31857823122711	Central African Republic	Central African Republic	Sub-Saharan Africa (all income levels)	3	#FB61D7
2.80498447189992	#FB61D7	0.468734394337451	0.485568414161223	Congo, Rep.	Congo, Rep.	Sub-Saharan Africa (all income levels)	3	#FB61D7
3.39427400463467	#C49A00	0.107442951125779	0.893360045388174	Switzerland	Switzerland	Europe & Central Asia (all income levels)	3	#C49A00
3.9718012070186	#FB61D7	0.480676118722453	0.431200427705012	Cote d'Ivoire	Cote d'Ivoire	Sub-Saharan Africa (all income levels)	3	#FB61D7
3.9718012070186	#53B400	0.16378617799683	0.84721408580847	Chile	Chile	Latin America & Caribbean (all income levels)	3	#53B400
4.12978872191586	#FB61D7	0.475139501053043	0.397495627998488	Cameroon	Cameroon	Sub-Saharan Africa (all income levels)	3	#FB61D7
19.727944043233	#F8766D	0.134366111557418	0.752110678096608	China	China	East Asia & Pacific (all income levels)	3	#F8766D
5.2199378875997	#53B400	0.224254727837245	0.75380068750358	Colombia	Colombia	Latin America & Caribbean (all income levels)	3	#53B400
3.13841995766062	#53B400	0.177682002735741	0.851721284271857	Costa Rica	Costa Rica	Latin America & Caribbean (all income levels)	3	#53B400
3.60996894379985	#53B400	0.12372712074169	0.837993330638389	Cuba	Cuba	Latin America & Caribbean (all income levels)	3	#53B400
2	#FB61D7	0.268004863538659	0.751632975864865	Cape Verde	Cape Verde	Sub-Saharan Africa (all income levels)	3	#FB61D7
2	#C49A00	0.119276114380007	0.851872537643563	Cyprus	Cyprus	Europe & Central Asia (all income levels)	3	#C49A00
3.60996894379985	#C49A00	0.0922443928175956	0.810588727907081	Czech Republic	Czech Republic	Europe & Central Asia (all income levels)	3	#C49A00
6.48196385527594	#C49A00	0.0987580606639599	0.85744687044803	Germany	Germany	Europe & Central Asia (all income levels)	3	#C49A00
2	#00C094	0.410871311635582	0.493128042477723	Djibouti	Djibouti	Middle East & North Africa (all income levels)	3	#00C094
3.13841995766062	#C49A00	0.148696180819419	0.840497372010671	Denmark	Denmark	Europe & Central Asia (all income levels)	3	#C49A00
3.39427400463467	#53B400	0.252046377315066	0.750636147739278	Dominican Republic	Dominican Republic	Latin America & Caribbean (all income levels)	3	#53B400
4.90241278938748	#00C094	0.218392426775517	0.743927794680617	Algeria	Algeria	Middle East & North Africa (all income levels)	3	#00C094
3.8	#53B400	0.245315587207156	0.791500020350799	Ecuador	Ecuador	Latin America & Caribbean (all income levels)	3	#53B400
2	#C49A00	0.116127841587598	0.758296104925452	Estonia	Estonia	Europe & Central Asia (all income levels)	3	#C49A00
6.18282201390401	#00C094	0.277775365308205	0.74209755287626	Egypt, Arab Rep.	Egypt, Arab Rep.	Middle East & North Africa (all income levels)	3	#00C094
3.13841995766062	#FB61D7	0.488601081268862	0.541652252309017	Eritrea	Eritrea	Sub-Saharan Africa (all income levels)	3	#FB61D7
5.2199378875997	#C49A00	0.0987580606639599	0.87675257718834	Spain	Spain	Europe & Central Asia (all income levels)	3	#C49A00
6.25957744383172	#FB61D7	0.505970862192501	0.486998860621273	Ethiopia	Ethiopia	Sub-Saharan Africa (all income levels)	3	#FB61D7
3.13841995766062	#C49A00	0.148696180819419	0.855660712540953	Finland	Finland	Europe & Central Asia (all income levels)	3	#C49A00
2	#F8766D	0.263770979438522	0.6951440219024	Fiji	Fiji	East Asia & Pacific (all income levels)	3	#F8766D
2	#F8766D	0.368423909503441	0.685555394210181	Micronesia, Fed. Sts.	Micronesia, Fed. Sts.	East Asia & Pacific (all income levels)	3	#F8766D
5.8605699061149	#C49A00	0.163894739127603	0.875878499914664	France	France	Europe & Central Asia (all income levels)	3	#C49A00
2.80498447189992	#FB61D7	0.336615498187029	0.562551819956196	Gabon	Gabon	Sub-Saharan Africa (all income levels)	3	#FB61D7
5.77571185341255	#C49A00	0.146524958203965	0.859271031714831	United Kingdom	United Kingdom	Europe & Central Asia (all income levels)	3	#C49A00
2	#53B400	0.207861997090562	0.792512429853874	Grenada	Grenada	Latin America & Caribbean (all income levels)	3	#53B400
3.13841995766062	#C49A00	0.124052804134008	0.758615333147143	Georgia	Georgia	Europe & Central Asia (all income levels)	3	#C49A00
4.27683991532123	#FB61D7	0.436057493974857	0.578643202530963	Ghana	Ghana	Sub-Saharan Africa (all income levels)	3	#FB61D7
2	#C49A00	0.202976746205788	0.69467848074577	Greenland	Greenland	Europe & Central Asia (all income levels)	3	#C49A00
2.80498447189992	#FB61D7	0.526597477039321	0.510112504006029	Gambia, The	Gambia, The	Sub-Saharan Africa (all income levels)	3	#FB61D7
3.60996894379985	#FB61D7	0.564268189417461	0.424346141745008	Guinea	Guinea	Sub-Saharan Africa (all income levels)	3	#FB61D7
2	#FB61D7	0.551566537117051	0.397306751300655	Equatorial Guinea	Equatorial Guinea	Sub-Saharan Africa (all income levels)	3	#FB61D7
3.60996894379985	#C49A00	0.0976724493562325	0.862235293773382	Greece	Greece	Europe & Central Asia (all income levels)	3	#C49A00
3.8	#53B400	0.427589725774584	0.712791642057908	Guatemala	Guatemala	Latin America & Caribbean (all income levels)	3	#53B400
2	#F8766D	0.238801919360792	0.797805157762778	Guam	Guam	East Asia & Pacific (all income levels)	3	#F8766D
2.80498447189992	#FB61D7	0.546247041709186	0.346034138494048	Guinea-Bissau	Guinea-Bissau	Sub-Saharan Africa (all income levels)	3	#FB61D7
2	#53B400	0.211878758929153	0.676260532488635	Guyana	Guyana	Latin America & Caribbean (all income levels)	3	#53B400
3.39427400463467	#F8766D	0.0581561977549558	0.898718519109402	Hong Kong SAR, China	Hong Kong SAR, China	East Asia & Pacific (all income levels)	3	#F8766D
3.39427400463467	#53B400	0.332707297479211	0.740697889137588	Honduras	Honduras	Latin America & Caribbean (all income levels)	3	#53B400
3.13841995766062	#C49A00	0.106357339818052	0.799997191551717	Croatia	Croatia	Europe & Central Asia (all income levels)	3	#C49A00
3.39427400463467	#53B400	0.360933191480122	0.560492797926295	Haiti	Haiti	Latin America & Caribbean (all income levels)	3	#53B400
3.60996894379985	#C49A00	0.0955012267407777	0.759550215796378	Hungary	Hungary	Europe & Central Asia (all income levels)	3	#C49A00
9.33375756348681	#F8766D	0.201022645851879	0.67267757573376	Indonesia	Indonesia	East Asia & Pacific (all income levels)	3	#F8766D
3.13841995766062	#C49A00	0.156295459973511	0.850401047555011	Ireland	Ireland	Europe & Central Asia (all income levels)	3	#C49A00
3.39427400463467	#00C094	0.261599756823067	0.876448550310539	Israel	Israel	Middle East & North Africa (all income levels)	3	#00C094
18.477621187538	#A58AFF	0.26051414551534	0.614931090597995	India	India	South Asia	3	#A58AFF
4.54558441227157	#00C094	0.495766115899863	0.69433987081062	Iraq	Iraq	Middle East & North Africa (all income levels)	3	#00C094
6.1046315303569	#00C094	0.151410209088738	0.73905006345991	Iran, Islamic Rep.	Iran, Islamic Rep.	Middle East & North Africa (all income levels)	3	#00C094
2	#C49A00	0.175836463512604	0.8975024115982	Iceland	Iceland	Europe & Central Asia (all income levels)	3	#C49A00
5.77571185341255	#C49A00	0.0965868380485051	0.883137141622144	Italy	Italy	Europe & Central Asia (all income levels)	3	#C49A00
2	#C49A00	0.106465900948824	0.856093950841819	Channel Islands	Channel Islands	Europe & Central Asia (all income levels)	3	#C49A00
2.80498447189992	#53B400	0.221540699567927	0.741329885009815	Jamaica	Jamaica	Latin America & Caribbean (all income levels)	3	#53B400
3.13841995766062	#00C094	0.344106216210348	0.759491690622402	Jordan	Jordan	Middle East & North Africa (all income levels)	3	#00C094
7.57709601853868	#F8766D	0.0900731702021408	0.904088393838546	Japan	Japan	East Asia & Pacific (all income levels)	3	#F8766D
4.90241278938748	#FB61D7	0.485995614130317	0.453544123021741	Kenya	Kenya	Sub-Saharan Africa (all income levels)	3	#FB61D7
