xmin	xmax	clickSelects	PANEL	group
0.0709430756159721	0.0879354290569238	1960	4	1
0.0879354290569238	0.104927782497875	1961	4	1
0.104927782497875	0.121920135938827	1962	4	1
0.121920135938827	0.138912489379779	1963	4	1
0.138912489379779	0.15590484282073	1964	4	1
0.15590484282073	0.172897196261682	1965	4	1
0.172897196261682	0.189889549702633	1966	4	1
0.189889549702633	0.206881903143585	1967	4	1
0.206881903143585	0.223874256584537	1968	4	1
0.223874256584537	0.240866610025488	1969	4	1
0.240866610025488	0.25785896346644	1970	4	1
0.25785896346644	0.274851316907391	1971	4	1
0.274851316907391	0.291843670348343	1972	4	1
0.291843670348343	0.308836023789295	1973	4	1
0.308836023789295	0.325828377230246	1974	4	1
0.325828377230246	0.342820730671198	1975	4	1
0.342820730671198	0.359813084112149	1976	4	1
0.359813084112149	0.376805437553101	1977	4	1
0.376805437553101	0.393797790994052	1978	4	1
0.393797790994052	0.410790144435004	1979	4	1
0.410790144435004	0.427782497875956	1980	4	1
0.427782497875956	0.444774851316907	1981	4	1
0.444774851316907	0.461767204757859	1982	4	1
0.461767204757859	0.47875955819881	1983	4	1
0.47875955819881	0.495751911639762	1984	4	1
0.495751911639762	0.512744265080714	1985	4	1
0.512744265080714	0.529736618521665	1986	4	1
0.529736618521665	0.546728971962617	1987	4	1
0.546728971962617	0.563721325403568	1988	4	1
0.563721325403568	0.58071367884452	1989	4	1
0.58071367884452	0.597706032285472	1990	4	1
0.597706032285472	0.614698385726423	1991	4	1
0.614698385726423	0.631690739167375	1992	4	1
0.631690739167375	0.648683092608326	1993	4	1
0.648683092608326	0.665675446049278	1994	4	1
0.665675446049278	0.68266779949023	1995	4	1
0.68266779949023	0.699660152931181	1996	4	1
0.699660152931181	0.716652506372133	1997	4	1
0.716652506372133	0.733644859813084	1998	4	1
0.733644859813084	0.750637213254036	1999	4	1
0.750637213254036	0.767629566694988	2000	4	1
0.767629566694988	0.784621920135939	2001	4	1
0.784621920135939	0.801614273576891	2002	4	1
0.801614273576891	0.818606627017842	2003	4	1
0.818606627017842	0.835598980458794	2004	4	1
0.835598980458794	0.852591333899746	2005	4	1
0.852591333899746	0.869583687340697	2006	4	1
0.869583687340697	0.886576040781649	2007	4	1
0.886576040781649	0.9035683942226	2008	4	1
0.9035683942226	0.920560747663552	2009	4	1
0.920560747663552	0.937553101104504	2010	4	1
0.937553101104504	0.954545454545455	2011	4	1
