size	colour	x	y	showSelected	clickSelects	showSelectedlegendcolour	PANEL	fill
2.80498447189992	#00C094	0.776125743415463	0.793646830141666	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	4	#00C094
2.80498447189992	#00C094	0.793118096856415	0.796999106503009	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	4	#00C094
2.80498447189992	#00C094	0.810110450297367	0.800250293927485	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	4	#00C094
2.80498447189992	#00C094	0.827102803738318	0.803414833691788	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	4	#00C094
3.13841995766062	#00C094	0.84409515717927	0.806476384351236	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	4	#00C094
3.13841995766062	#00C094	0.861087510620221	0.809457747921663	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	4	#00C094
3.13841995766062	#00C094	0.878079864061173	0.812365765007823	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	4	#00C094
3.39427400463467	#00C094	0.895072217502125	0.8152156369536	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	4	#00C094
3.39427400463467	#00C094	0.912064570943076	0.817992542448709	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	4	#00C094
3.39427400463467	#00C094	0.929056924384028	0.820704462198686	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	4	#00C094
3.39427400463467	#00C094	0.946049277824979	0.823336574893241	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	4	#00C094
3.39427400463467	#A58AFF	0.079439252336448	0.112663107094645	Afghanistan	Afghanistan	South Asia	4	#A58AFF
3.39427400463467	#A58AFF	0.0964316057773996	0.118010559841553	Afghanistan	Afghanistan	South Asia	4	#A58AFF
3.39427400463467	#A58AFF	0.113423959218351	0.123568931234934	Afghanistan	Afghanistan	South Asia	4	#A58AFF
3.39427400463467	#A58AFF	0.130416312659303	0.129369003996166	Afghanistan	Afghanistan	South Asia	4	#A58AFF
3.60996894379985	#A58AFF	0.147408666100254	0.135395576781361	Afghanistan	Afghanistan	South Asia	4	#A58AFF
3.60996894379985	#A58AFF	0.164401019541206	0.141609886163596	Afghanistan	Afghanistan	South Asia	4	#A58AFF
3.60996894379985	#A58AFF	0.181393372982158	0.147949226599327	Afghanistan	Afghanistan	South Asia	4	#A58AFF
3.60996894379985	#A58AFF	0.198385726423109	0.15437521469523	Afghanistan	Afghanistan	South Asia	4	#A58AFF
3.60996894379985	#A58AFF	0.215378079864061	0.160824764874163	Afghanistan	Afghanistan	South Asia	4	#A58AFF
3.60996894379985	#A58AFF	0.232370433305012	0.167282295758639	Afghanistan	Afghanistan	South Asia	4	#A58AFF
3.60996894379985	#A58AFF	0.249362786745964	0.17380253218666	Afghanistan	Afghanistan	South Asia	4	#A58AFF
3.60996894379985	#A58AFF	0.266355140186916	0.180431458223495	Afghanistan	Afghanistan	South Asia	4	#A58AFF
3.60996894379985	#A58AFF	0.283347493627867	0.187216578068801	Afghanistan	Afghanistan	South Asia	4	#A58AFF
3.60996894379985	#A58AFF	0.300339847068819	0.194141550277893	Afghanistan	Afghanistan	South Asia	4	#A58AFF
3.8	#A58AFF	0.31733220050977	0.201144049340826	Afghanistan	Afghanistan	South Asia	4	#A58AFF
3.8	#A58AFF	0.334324553950722	0.208099424237699	Afghanistan	Afghanistan	South Asia	4	#A58AFF
3.8	#A58AFF	0.351316907391674	0.214859461865585	Afghanistan	Afghanistan	South Asia	4	#A58AFF
3.8	#A58AFF	0.368309260832625	0.221330673959561	Afghanistan	Afghanistan	South Asia	4	#A58AFF
3.8	#A58AFF	0.385301614273577	0.22741197158276	Afghanistan	Afghanistan	South Asia	4	#A58AFF
3.8	#A58AFF	0.402293967714528	0.233103354735179	Afghanistan	Afghanistan	South Asia	4	#A58AFF
3.8	#A58AFF	0.41928632115548	0.23843636620539	Afghanistan	Afghanistan	South Asia	4	#A58AFF
3.8	#A58AFF	0.436278674596431	0.243466490898594	Afghanistan	Afghanistan	South Asia	4	#A58AFF
3.8	#A58AFF	0.453271028037383	0.24834156188412	Afghanistan	Afghanistan	South Asia	4	#A58AFF
3.8	#A58AFF	0.470263381478335	0.253162668098835	Afghanistan	Afghanistan	South Asia	4	#A58AFF
3.60996894379985	#A58AFF	0.487255734919286	0.257984154347149	Afghanistan	Afghanistan	South Asia	4	#A58AFF
3.60996894379985	#A58AFF	0.504248088360238	0.262844023988785	Afghanistan	Afghanistan	South Asia	4	#A58AFF
3.60996894379985	#A58AFF	0.521240441801189	0.267741136922951	Afghanistan	Afghanistan	South Asia	4	#A58AFF
3.60996894379985	#A58AFF	0.538232795242141	0.272635589621936	Afghanistan	Afghanistan	South Asia	4	#A58AFF
3.60996894379985	#A58AFF	0.555225148683093	0.277495839297169	Afghanistan	Afghanistan	South Asia	4	#A58AFF
3.60996894379985	#A58AFF	0.572217502124044	0.282330246687788	Afghanistan	Afghanistan	South Asia	4	#A58AFF
3.60996894379985	#A58AFF	0.589209855564996	0.287131971189044	Afghanistan	Afghanistan	South Asia	4	#A58AFF
3.8	#A58AFF	0.606202209005947	0.291909753573674	Afghanistan	Afghanistan	South Asia	4	#A58AFF
3.8	#A58AFF	0.623194562446899	0.296642311960231	Afghanistan	Afghanistan	South Asia	4	#A58AFF
