x	y	label	showSelected	PANEL
0.496091799292181	0.951999229443879	year = 1960	1960	3
0.496091799292181	0.951999229443879	year = 1961	1961	3
0.496091799292181	0.951999229443879	year = 1962	1962	3
0.496091799292181	0.951999229443879	year = 1963	1963	3
0.496091799292181	0.951999229443879	year = 1964	1964	3
0.496091799292181	0.951999229443879	year = 1965	1965	3
0.496091799292181	0.951999229443879	year = 1966	1966	3
0.496091799292181	0.951999229443879	year = 1967	1967	3
0.496091799292181	0.951999229443879	year = 1968	1968	3
0.496091799292181	0.951999229443879	year = 1969	1969	3
0.496091799292181	0.951999229443879	year = 1970	1970	3
0.496091799292181	0.951999229443879	year = 1971	1971	3
0.496091799292181	0.951999229443879	year = 1972	1972	3
0.496091799292181	0.951999229443879	year = 1973	1973	3
0.496091799292181	0.951999229443879	year = 1974	1974	3
0.496091799292181	0.951999229443879	year = 1975	1975	3
0.496091799292181	0.951999229443879	year = 1976	1976	3
0.496091799292181	0.951999229443879	year = 1977	1977	3
0.496091799292181	0.951999229443879	year = 1978	1978	3
0.496091799292181	0.951999229443879	year = 1979	1979	3
0.496091799292181	0.951999229443879	year = 1980	1980	3
0.496091799292181	0.951999229443879	year = 1981	1981	3
0.496091799292181	0.951999229443879	year = 1982	1982	3
0.496091799292181	0.951999229443879	year = 1983	1983	3
0.496091799292181	0.951999229443879	year = 1984	1984	3
0.496091799292181	0.951999229443879	year = 1985	1985	3
0.496091799292181	0.951999229443879	year = 1986	1986	3
0.496091799292181	0.951999229443879	year = 1987	1987	3
0.496091799292181	0.951999229443879	year = 1988	1988	3
0.496091799292181	0.951999229443879	year = 1989	1989	3
0.496091799292181	0.951999229443879	year = 1990	1990	3
0.496091799292181	0.951999229443879	year = 1991	1991	3
0.496091799292181	0.951999229443879	year = 1992	1992	3
0.496091799292181	0.951999229443879	year = 1993	1993	3
0.496091799292181	0.951999229443879	year = 1994	1994	3
0.496091799292181	0.951999229443879	year = 1995	1995	3
0.496091799292181	0.951999229443879	year = 1996	1996	3
0.496091799292181	0.951999229443879	year = 1997	1997	3
0.496091799292181	0.951999229443879	year = 1998	1998	3
0.496091799292181	0.951999229443879	year = 1999	1999	3
0.496091799292181	0.951999229443879	year = 2000	2000	3
0.496091799292181	0.951999229443879	year = 2001	2001	3
0.496091799292181	0.951999229443879	year = 2002	2002	3
0.496091799292181	0.951999229443879	year = 2003	2003	3
0.496091799292181	0.951999229443879	year = 2004	2004	3
0.496091799292181	0.951999229443879	year = 2005	2005	3
0.496091799292181	0.951999229443879	year = 2006	2006	3
0.496091799292181	0.951999229443879	year = 2007	2007	3
0.496091799292181	0.951999229443879	year = 2008	2008	3
0.496091799292181	0.951999229443879	year = 2009	2009	3
0.496091799292181	0.951999229443879	year = 2010	2010	3
0.496091799292181	0.951999229443879	year = 2011	2011	3
