colour	x	y	group	clickSelects	showSelectedlegendcolour	PANEL
#A58AFF	0.789206852378574	0.124125874125873	1	Afghanistan	South Asia	1
#A58AFF	0.789206852378574	0.14160839160839	1	Afghanistan	South Asia	1
#A58AFF	0.789206852378574	0.159090909090908	1	Afghanistan	South Asia	1
#A58AFF	0.789206852378574	0.176573426573426	1	Afghanistan	South Asia	1
#A58AFF	0.789206852378574	0.194055944055943	1	Afghanistan	South Asia	1
#A58AFF	0.789206852378574	0.211538461538461	1	Afghanistan	South Asia	1
#A58AFF	0.789206852378574	0.229020979020978	1	Afghanistan	South Asia	1
#A58AFF	0.789098291247802	0.246503496503496	1	Afghanistan	South Asia	1
#A58AFF	0.788881168986256	0.263986013986013	1	Afghanistan	South Asia	1
#A58AFF	0.788664046724711	0.281468531468531	1	Afghanistan	South Asia	1
#A58AFF	0.788446924463165	0.298951048951048	1	Afghanistan	South Asia	1
#A58AFF	0.788338363332392	0.316433566433566	1	Afghanistan	South Asia	1
#A58AFF	0.788664046724711	0.333916083916083	1	Afghanistan	South Asia	1
#A58AFF	0.789315413509347	0.351398601398601	1	Afghanistan	South Asia	1
#A58AFF	0.790401024817074	0.368881118881118	1	Afghanistan	South Asia	1
#A58AFF	0.791920880647893	0.386363636363636	1	Afghanistan	South Asia	1
#A58AFF	0.793766419871029	0.403846153846154	1	Afghanistan	South Asia	1
#A58AFF	0.796046203617257	0.421328671328671	1	Afghanistan	South Asia	1
#A58AFF	0.798434548494257	0.438811188811189	1	Afghanistan	South Asia	1
#A58AFF	0.800822893371257	0.456293706293706	1	Afghanistan	South Asia	1
#A58AFF	0.803211238248257	0.473776223776224	1	Afghanistan	South Asia	1
#A58AFF	0.805491021994485	0.491258741258741	1	Afghanistan	South Asia	1
#A58AFF	0.807770805740713	0.508741258741259	1	Afghanistan	South Asia	1
#A58AFF	0.810159150617713	0.526223776223776	1	Afghanistan	South Asia	1
#A58AFF	0.812547495494713	0.543706293706294	1	Afghanistan	South Asia	1
#A58AFF	0.814935840371713	0.561188811188811	1	Afghanistan	South Asia	1
#A58AFF	0.817432746379486	0.578671328671329	1	Afghanistan	South Asia	1
#A58AFF	0.820038213518032	0.596153846153846	1	Afghanistan	South Asia	1
#A58AFF	0.822860802918123	0.613636363636364	1	Afghanistan	South Asia	1
#A58AFF	0.825466270056669	0.631118881118881	1	Afghanistan	South Asia	1
#A58AFF	0.827420370410578	0.648601398601399	1	Afghanistan	South Asia	1
#A58AFF	0.828071737195215	0.666083916083917	1	Afghanistan	South Asia	1
#A58AFF	0.826443320233623	0.683566433566434	1	Afghanistan	South Asia	1
#A58AFF	0.822209436133487	0.701048951048952	1	Afghanistan	South Asia	1
#A58AFF	0.815152962633259	0.718531468531469	1	Afghanistan	South Asia	1
#A58AFF	0.805165338602167	0.736013986013987	1	Afghanistan	South Asia	1
#A58AFF	0.792463686301756	0.753496503496504	1	Afghanistan	South Asia	1
#A58AFF	0.777807933647437	0.770979020979022	1	Afghanistan	South Asia	1
#A58AFF	0.761740886293072	0.788461538461539	1	Afghanistan	South Asia	1
#A58AFF	0.745131033284843	0.805944055944057	1	Afghanistan	South Asia	1
#A58AFF	0.728412619145841	0.823426573426574	1	Afghanistan	South Asia	1
#A58AFF	0.712019888399157	0.840909090909092	1	Afghanistan	South Asia	1
#A58AFF	0.696169963306338	0.85839160839161	1	Afghanistan	South Asia	1
#A58AFF	0.680645721605836	0.875874125874127	1	Afghanistan	South Asia	1
#A58AFF	0.66533860216688	0.893356643356645	1	Afghanistan	South Asia	1
#A58AFF	0.650465727251015	0.910839160839162	1	Afghanistan	South Asia	1
#A58AFF	0.635918535727468	0.92832167832168	1	Afghanistan	South Asia	1
#A58AFF	0.621805588727012	0.945804195804197	1	Afghanistan	South Asia	1
#53B400	0.170408406973967	0.438811188811189	5	Antigua and Barbuda	Latin America & Caribbean (all income levels)	1
#53B400	0.159552293896693	0.526223776223776	5	Antigua and Barbuda	Latin America & Caribbean (all income levels)	1
#53B400	0.137840067742146	0.613636363636364	5	Antigua and Barbuda	Latin America & Caribbean (all income levels)	1
#53B400	0.137840067742146	0.701048951048952	5	Antigua and Barbuda	Latin America & Caribbean (all income levels)	1
#53B400	0.137840067742146	0.788461538461539	5	Antigua and Barbuda	Latin America & Caribbean (all income levels)	1
#C49A00	0.599333434657055	0.0541958041958028	2	Albania	Europe & Central Asia (all income levels)	1
#C49A00	0.592819766810691	0.0716783216783203	2	Albania	Europe & Central Asia (all income levels)	1
#C49A00	0.583809192956554	0.0891608391608378	2	Albania	Europe & Central Asia (all income levels)	1
#C49A00	0.572518835356189	0.106643356643355	2	Albania	Europe & Central Asia (all income levels)	1
#C49A00	0.559708621925006	0.124125874125873	2	Albania	Europe & Central Asia (all income levels)	1
#C49A00	0.545812797186095	0.14160839160839	2	Albania	Europe & Central Asia (all income levels)	1
#C49A00	0.531808411316412	0.159090909090908	2	Albania	Europe & Central Asia (all income levels)	1
#C49A00	0.518021147708274	0.176573426573426	2	Albania	Europe & Central Asia (all income levels)	1
#C49A00	0.505102373146319	0.194055944055943	2	Albania	Europe & Central Asia (all income levels)	1
#C49A00	0.493052087630545	0.211538461538461	2	Albania	Europe & Central Asia (all income levels)	1
#C49A00	0.482195974553271	0.229020979020978	2	Albania	Europe & Central Asia (all income levels)	1
#C49A00	0.471991228260633	0.246503496503496	2	Albania	Europe & Central Asia (all income levels)	1
#C49A00	0.462220726491087	0.263986013986013	2	Albania	Europe & Central Asia (all income levels)	1
#C49A00	0.452450224721541	0.281468531468531	2	Albania	Europe & Central Asia (all income levels)	1
