size	colour	x	y	showSelected	clickSelects	showSelectedlegendcolour	PANEL	fill
2	#00C094	0.70539765942202	0.0541958041958028	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	1	#00C094
2	#00C094	0.703443559068111	0.0716783216783203	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	1	#00C094
2	#00C094	0.701598019844975	0.0891608391608378	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	1	#00C094
2	#00C094	0.699861041752611	0.106643356643355	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	1	#00C094
2	#00C094	0.698124063660247	0.124125874125873	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	1	#00C094
2	#00C094	0.695952841044792	0.14160839160839	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	1	#00C094
2	#00C094	0.693238812775474	0.159090909090908	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	1	#00C094
2	#00C094	0.689656295459973	0.176573426573426	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	1	#00C094
2	#00C094	0.6847710445752	0.194055944055943	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	1	#00C094
2	#00C094	0.678365937859609	0.211538461538461	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	1	#00C094
2	#00C094	0.670332414182426	0.229020979020978	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	1	#00C094
2	#00C094	0.660236229020561	0.246503496503496	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	1	#00C094
2	#00C094	0.64829450463556	0.263986013986013	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	1	#00C094
2	#00C094	0.634941485550513	0.281468531468531	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	1	#00C094
2	#00C094	0.620502855157739	0.298951048951048	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	1	#00C094
2	#00C094	0.605629980241874	0.316433566433566	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	1	#00C094
2	#00C094	0.590865666456782	0.333916083916083	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	1	#00C094
2	#00C094	0.576861280587099	0.351398601398601	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	1	#00C094
2	#00C094	0.56383394489437	0.368881118881118	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	1	#00C094
2	#00C094	0.552217903901687	0.386363636363636	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	1	#00C094
2	#00C094	0.54201315760905	0.403846153846154	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	1	#00C094
2	#00C094	0.533436828278003	0.421328671328671	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	1	#00C094
2	#00C094	0.525837549123912	0.438811188811189	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	1	#00C094
2	#00C094	0.518781075623684	0.456293706293706	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	1	#00C094
2	#00C094	0.511398918731137	0.473776223776224	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	1	#00C094
2	#00C094	0.503148272792409	0.491258741258741	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	1	#00C094
2.80498447189992	#00C094	0.493160648761317	0.508741258741259	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	1	#00C094
2.80498447189992	#00C094	0.480893240983998	0.526223776223776	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	1	#00C094
2.80498447189992	#00C094	0.466128927198906	0.543706293706294	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	1	#00C094
2.80498447189992	#00C094	0.448976268536813	0.561188811188811	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	1	#00C094
2.80498447189992	#00C094	0.429652387259266	0.578671328671329	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	1	#00C094
2.80498447189992	#00C094	0.408482966758582	0.596153846153846	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	1	#00C094
2.80498447189992	#00C094	0.386336496080943	0.613636363636364	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	1	#00C094
2.80498447189992	#00C094	0.364081464272532	0.631118881118881	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	1	#00C094
2.80498447189992	#00C094	0.342369238117984	0.648601398601399	United Arab Emirates	United Arab Emirates	Middle East & North Africa (all income levels)	1	#00C094
