colour	showSelectedlegendcolour	fill	group
#00BFC4	FF	#00BFC4	185
#F8766D	FC	#F8766D	186
#F8766D	FC	#F8766D	187
#F8766D	FC	#F8766D	188
#F8766D	FC	#F8766D	189
#F8766D	FC	#F8766D	190
#F8766D	FC	#F8766D	191
#00BFC4	FF	#00BFC4	192
#F8766D	FC	#F8766D	193
#F8766D	FC	#F8766D	194
#F8766D	FC	#F8766D	195
#F8766D	FC	#F8766D	196
#F8766D	FC	#F8766D	197
#F8766D	FC	#F8766D	198
#F8766D	FC	#F8766D	199
#00BFC4	FF	#00BFC4	200
#F8766D	FC	#F8766D	201
#F8766D	FC	#F8766D	202
#F8766D	FC	#F8766D	203
#F8766D	FC	#F8766D	204
#00BFC4	FF	#00BFC4	205
#00BFC4	FF	#00BFC4	206
#F8766D	FC	#F8766D	207
#00BFC4	FF	#00BFC4	208
#F8766D	FC	#F8766D	209
#F8766D	FC	#F8766D	210
#F8766D	FC	#F8766D	211
#00BFC4	FF	#00BFC4	212
#F8766D	FC	#F8766D	213
#F8766D	FC	#F8766D	214
#F8766D	FC	#F8766D	215
#00BFC4	FF	#00BFC4	216
#F8766D	FC	#F8766D	217
#F8766D	FC	#F8766D	218
#F8766D	FC	#F8766D	219
#F8766D	FC	#F8766D	220
#F8766D	FC	#F8766D	221
#F8766D	FC	#F8766D	222
#F8766D	FC	#F8766D	223
#F8766D	FC	#F8766D	224
#00BFC4	FF	#00BFC4	225
#F8766D	FC	#F8766D	226
#F8766D	FC	#F8766D	227
#00BFC4	FF	#00BFC4	228
#F8766D	FC	#F8766D	229
#F8766D	FC	#F8766D	230
#F8766D	FC	#F8766D	231
#F8766D	FC	#F8766D	232
#F8766D	FC	#F8766D	233
#F8766D	FC	#F8766D	234
#F8766D	FC	#F8766D	235
#F8766D	FC	#F8766D	236
#F8766D	FC	#F8766D	237
#00BFC4	FF	#00BFC4	238
#00BFC4	FF	#00BFC4	239
#F8766D	FC	#F8766D	240
#F8766D	FC	#F8766D	241
#F8766D	FC	#F8766D	242
#00BFC4	FF	#00BFC4	243
#F8766D	FC	#F8766D	244
