x	xend	tooltip	PANEL	group
0.865404822308838	0.88290865332769	( 0.9 ,  0.92 )	1	1
0.720812252411112	0.755783411499258	( 0.74 ,  0.78 )	1	2
0.545958588154056	0.597813452918124	( 0.55 ,  0.61 )	2	3
0.519487166910844	0.578624119398	( 0.52 ,  0.59 )	2	4
0.745429032800863	0.799260737392038	( 0.77 ,  0.83 )	3	5
0.559708165240211	0.641538340434483	( 0.56 ,  0.65 )	3	6
0.471204730579089	0.561787616787988	( 0.47 ,  0.57 )	4	7
0.374685815189786	0.476299798060551	( 0.36 ,  0.47 )	4	8
0.565560853907064	0.712213904511279	( 0.57 ,  0.73 )	5	9
0.391245811814412	0.559943091129981	( 0.38 ,  0.57 )	5	10
0.331206479848416	0.507810676559886	( 0.31 ,  0.51 )	6	11
0.307051223604001	0.47555893723153	( 0.29 ,  0.47 )	6	12
0.877342036297795	0.901708226028834	( 0.91 ,  0.94 )	7	13
0.706436594622223	0.765377467578976	( 0.73 ,  0.79 )	7	14
0.586131315391625	0.671761834484816	( 0.59 ,  0.69 )	8	15
0.501644191052679	0.609939358550055	( 0.5 ,  0.62 )	8	16
0.794641671454426	0.845713992826368	( 0.82 ,  0.88 )	9	17
0.655744183636854	0.735297184754272	( 0.67 ,  0.76 )	9	18
0.51255336610356	0.612779197863526	( 0.51 ,  0.62 )	10	19
0.398957140645909	0.515002192256285	( 0.39 ,  0.52 )	10	20
0.710672527953396	0.806684101956172	( 0.73 ,  0.84 )	11	21
0.480374159313277	0.618712910964485	( 0.48 ,  0.63 )	11	22
0.529168683280886	0.656129156738843	( 0.53 ,  0.67 )	12	23
0.380625463613576	0.527931433551619	( 0.37 ,  0.53 )	12	24
0.891248263949312	0.922285385781987	( 0.93 ,  0.96 )	13	25
0.7923268962445	0.863854739993985	( 0.82 ,  0.9 )	13	26
0.581368008118751	0.721572845600302	( 0.59 ,  0.74 )	14	27
0.502591043218418	0.686578225593368	( 0.5 ,  0.71 )	14	28
0.793452232860186	0.85743079081817	( 0.82 ,  0.89 )	15	29
0.653979087484024	0.757537648953124	( 0.67 ,  0.78 )	15	30
0.433527472612794	0.576818308081531	( 0.43 ,  0.58 )	16	31
0.363815652426827	0.531633977294856	( 0.35 ,  0.53 )	16	32
0.730921438869438	0.83037827198416	( 0.75 ,  0.86 )	17	33
0.526525516604846	0.675275752370567	( 0.53 ,  0.69 )	17	34
0.569988696219013	0.700204869420871	( 0.58 ,  0.72 )	18	35
0.440746175109576	0.596481663682181	( 0.43 ,  0.61 )	18	36
0.893618549352931	0.933154203832142	( 0.93 ,  0.98 )	19	37
0.701515020168063	0.821243703154129	( 0.72 ,  0.85 )	19	38
0.569189034851463	0.743230255620622	( 0.58 ,  0.77 )	20	39
0.58514457018738	0.786080330216841	( 0.59 ,  0.81 )	20	40
0.841845877322144	0.903278049450344	( 0.88 ,  0.94 )	21	41
0.624233942645754	0.760064816210404	( 0.64 ,  0.79 )	21	42
0.431629569979346	0.65188868375734	( 0.42 ,  0.67 )	22	43
0.456699721359504	0.723109841810339	( 0.45 ,  0.75 )	22	44
0.697842686256523	0.831782611837349	( 0.72 ,  0.86 )	23	45
0.434939661357897	0.649781737358861	( 0.43 ,  0.66 )	23	46
0.475692351078601	0.673272128735558	( 0.47 ,  0.69 )	24	47
0.306144613858164	0.511270606017405	( 0.29 ,  0.51 )	24	48
