x	xend	tooltip	PANEL	group
0.0476356574765392	0.0508313755868971	( 0 ,  0.01 )	1	1
0.0563376850587405	0.0667521799117207	( 0.01 ,  0.02 )	1	2
0.049907932161054	0.0539504221197465	( 0 ,  0.01 )	2	3
0.0584959465252441	0.0675032512601835	( 0.01 ,  0.02 )	2	4
0.0454545454545455	0.0472970210622283	( 0 ,  0 )	3	5
0.0476524664355485	0.0553914319675985	( 0 ,  0.01 )	3	6
0.0457260833864582	0.0482469382402993	( 0 ,  0 )	4	7
0.0486992997561713	0.0561000358639792	( 0 ,  0.01 )	4	8
0.0454545454545455	0.0485777506125942	( 0 ,  0 )	5	9
0.0454545454545455	0.0604716027549131	( 0 ,  0.02 )	5	10
0.0454545454545455	0.0517549637803734	( 0 ,  0.01 )	6	11
0.0454545454545455	0.0521423033433997	( 0 ,  0.01 )	6	12
0.0468512083621136	0.0528420020613475	( 0 ,  0.01 )	7	13
0.0606796914254368	0.0815391935251533	( 0.02 ,  0.04 )	7	14
0.0484530205248761	0.054249481778808	( 0 ,  0.01 )	8	15
0.0609925511228641	0.0775962949244952	( 0.02 ,  0.04 )	8	16
0.046515710188335	0.052273466540164	( 0 ,  0.01 )	9	17
0.0506117087843507	0.0652033234359467	( 0.01 ,  0.02 )	9	18
0.0454912392525758	0.047663393326895	( 0 ,  0 )	10	19
0.0508628245499295	0.0616383047796948	( 0.01 ,  0.02 )	10	20
0.0454545454545455	0.0475112107819925	( 0 ,  0 )	11	21
0.0454545454545455	0.0516178060477795	( 0 ,  0.01 )	11	22
0.0454545454545455	0.0517666040540809	( 0 ,  0.01 )	12	23
0.0463676470562076	0.0538758434972619	( 0 ,  0.01 )	12	24
0.0457001696841803	0.0572216260562815	( 0 ,  0.01 )	13	25
0.0580201544094498	0.098117798867367	( 0.01 ,  0.06 )	13	26
0.0496734579540992	0.0638849178546907	( 0 ,  0.02 )	14	27
0.074871616942451	0.123000184970376	( 0.03 ,  0.09 )	14	28
0.0454545454545455	0.0480945950383137	( 0 ,  0 )	15	29
0.0516007492929668	0.0742547535300355	( 0.01 ,  0.03 )	15	30
0.0459644599296915	0.0530577334718748	( 0 ,  0.01 )	16	31
0.0512293722815897	0.0701653820522419	( 0.01 ,  0.03 )	16	32
0.0454545454545455	0.0505424360124722	( 0 ,  0.01 )	17	33
0.0455557571129898	0.0540666318759812	( 0 ,  0.01 )	17	34
0.0454545454545455	0.047909394469879	( 0 ,  0 )	18	35
0.047506533276026	0.0591131073284472	( 0 ,  0.02 )	18	36
0.0454545454545455	0.0817185249536917	( 0 ,  0.04 )	19	37
0.0468275384069072	0.0976341437172732	( 0 ,  0.06 )	19	38
0.0454545454545455	0.0672956066419092	( 0 ,  0.02 )	20	39
0.066291874076927	0.159270498856539	( 0.02 ,  0.13 )	20	40
0.0454545454545455	0.0574625025918192	( 0 ,  0.01 )	21	41
0.0579596667892228	0.121467740808199	( 0.01 ,  0.08 )	21	42
0.0454545454545455	0.0673914509697088	( 0 ,  0.02 )	22	43
0.0532496563065076	0.100940208943589	( 0.01 ,  0.06 )	22	44
0.0454545454545455	0.0562633136578991	( 0 ,  0.01 )	23	45
0.0454545454545455	0.0696409533550637	( 0 ,  0.03 )	23	46
0.0454545454545455	0.0524442337661661	( 0 ,  0.01 )	24	47
0.0512019083175039	0.0799040651559866	( 0.01 ,  0.04 )	24	48
