x	y	showSelected	label	PANEL
0.095959595959596	0.0795454545454545	px=-2; pz=0.7	0	1
0.095959595959596	0.193181818181818	px=-2; pz=1.2	0	1
0.095959595959596	0.306818181818182	px=-2; pz=1.7	0	1
0.095959595959596	0.420454545454545	px=-2; pz=2.2	0	1
0.095959595959596	0.534090909090909	px=-2; pz=2.7	0	1
0.095959595959596	0.647727272727273	px=-2; pz=3.2	0	1
0.095959595959596	0.761363636363636	px=-2; pz=3.7	0	1
0.095959595959596	0.875	px=-2; pz=4.2	0	1
0.196969696969697	0.0795454545454545	px=-1.5; pz=0.7	0	1
0.196969696969697	0.193181818181818	px=-1.5; pz=1.2	0.1	1
0.196969696969697	0.306818181818182	px=-1.5; pz=1.7	0.4	1
0.196969696969697	0.420454545454545	px=-1.5; pz=2.2	0.2	1
0.196969696969697	0.534090909090909	px=-1.5; pz=2.7	0.1	1
0.196969696969697	0.647727272727273	px=-1.5; pz=3.2	0.1	1
0.196969696969697	0.761363636363636	px=-1.5; pz=3.7	0	1
0.196969696969697	0.875	px=-1.5; pz=4.2	0	1
0.297979797979798	0.0795454545454545	px=-1; pz=0.7	0	1
0.297979797979798	0.193181818181818	px=-1; pz=1.2	2.1	1
0.297979797979798	0.306818181818182	px=-1; pz=1.7	2	1
0.297979797979798	0.420454545454545	px=-1; pz=2.2	0.9	1
0.297979797979798	0.534090909090909	px=-1; pz=2.7	0.8	1
0.297979797979798	0.647727272727273	px=-1; pz=3.2	0.7	1
0.297979797979798	0.761363636363636	px=-1; pz=3.7	0.2	1
0.297979797979798	0.875	px=-1; pz=4.2	0	1
0.398989898989899	0.0795454545454545	px=-0.5; pz=0.7	0	1
0.398989898989899	0.193181818181818	px=-0.5; pz=1.2	5.6	1
0.398989898989899	0.306818181818182	px=-0.5; pz=1.7	1.8	1
0.398989898989899	0.420454545454545	px=-0.5; pz=2.2	1	1
0.398989898989899	0.534090909090909	px=-0.5; pz=2.7	1	1
0.398989898989899	0.647727272727273	px=-0.5; pz=3.2	1	1
0.398989898989899	0.761363636363636	px=-0.5; pz=3.7	0.8	1
0.398989898989899	0.875	px=-0.5; pz=4.2	0.1	1
0.5	0.0795454545454545	px=0; pz=0.7	0	1
0.5	0.193181818181818	px=0; pz=1.2	4.3	1
0.5	0.306818181818182	px=0; pz=1.7	2.3	1
0.5	0.420454545454545	px=0; pz=2.2	1	1
0.5	0.534090909090909	px=0; pz=2.7	1	1
0.5	0.647727272727273	px=0; pz=3.2	1	1
0.5	0.761363636363636	px=0; pz=3.7	1.1	1
0.5	0.875	px=0; pz=4.2	0.2	1
0.601010101010101	0.0795454545454545	px=0.5; pz=0.7	0	1
0.601010101010101	0.193181818181818	px=0.5; pz=1.2	1.4	1
0.601010101010101	0.306818181818182	px=0.5; pz=1.7	3.5	1
0.601010101010101	0.420454545454545	px=0.5; pz=2.2	1.1	1
0.601010101010101	0.534090909090909	px=0.5; pz=2.7	1	1
0.601010101010101	0.647727272727273	px=0.5; pz=3.2	1.1	1
0.601010101010101	0.761363636363636	px=0.5; pz=3.7	1	1
0.601010101010101	0.875	px=0.5; pz=4.2	0.1	1
0.702020202020202	0.0795454545454545	px=1; pz=0.7	0	1
0.702020202020202	0.193181818181818	px=1; pz=1.2	0	1
0.702020202020202	0.306818181818182	px=1; pz=1.7	1	1
0.702020202020202	0.420454545454545	px=1; pz=2.2	0.9	1
0.702020202020202	0.534090909090909	px=1; pz=2.7	0.6	1
0.702020202020202	0.647727272727273	px=1; pz=3.2	0.5	1
0.702020202020202	0.761363636363636	px=1; pz=3.7	0.1	1
0.702020202020202	0.875	px=1; pz=4.2	0	1
0.803030303030303	0.0795454545454545	px=1.5; pz=0.7	0	1
0.803030303030303	0.193181818181818	px=1.5; pz=1.2	0	1
0.803030303030303	0.306818181818182	px=1.5; pz=1.7	0	1
0.803030303030303	0.420454545454545	px=1.5; pz=2.2	0.1	1
0.803030303030303	0.534090909090909	px=1.5; pz=2.7	0.1	1
0.803030303030303	0.647727272727273	px=1.5; pz=3.2	0	1
0.803030303030303	0.761363636363636	px=1.5; pz=3.7	0	1
0.803030303030303	0.875	px=1.5; pz=4.2	0	1
0.904040404040404	0.0795454545454545	px=2; pz=0.7	0	1
0.904040404040404	0.193181818181818	px=2; pz=1.2	0	1
0.904040404040404	0.306818181818182	px=2; pz=1.7	0	1
0.904040404040404	0.420454545454545	px=2; pz=2.2	0	1
0.904040404040404	0.534090909090909	px=2; pz=2.7	0	1
0.904040404040404	0.647727272727273	px=2; pz=3.2	0	1
0.904040404040404	0.761363636363636	px=2; pz=3.7	0	1
0.904040404040404	0.875	px=2; pz=4.2	0	1
0.095959595959596	0.0795454545454545	px=-2; pz=0.7	0	2
0.095959595959596	0.193181818181818	px=-2; pz=1.2	0	2
