fill	x	y	tooltip	clickSelects	PANEL	xmin	xmax	ymin	ymax	colour	size
#FFFFFF	0.803030303030303	0.215909090909091	( 0 ,  Inf )	px=1.5; pz=1.2	16	0.752525252525252	0.853535353535353	0.159090909090909	0.272727272727273	#FFFFFF	0
#FFFFFF	0.803030303030303	0.329545454545455	( 0 ,  Inf )	px=1.5; pz=1.7	16	0.752525252525252	0.853535353535353	0.272727272727273	0.386363636363636	#FFFFFF	0
#FDFDFE	0.803030303030303	0.443181818181818	( 0 ,  2.95 )	px=1.5; pz=2.2	16	0.752525252525252	0.853535353535353	0.386363636363636	0.5	#FDFDFE	0
#FDFDFE	0.803030303030303	0.556818181818182	( 0 ,  2.66 )	px=1.5; pz=2.7	16	0.752525252525252	0.853535353535353	0.5	0.613636363636364	#FDFDFE	0
#FFFFFF	0.803030303030303	0.670454545454545	( 0 ,  Inf )	px=1.5; pz=3.2	16	0.752525252525252	0.853535353535353	0.613636363636364	0.727272727272727	#FFFFFF	0
#FFFFFF	0.803030303030303	0.784090909090909	( 0 ,  Inf )	px=1.5; pz=3.7	16	0.752525252525252	0.853535353535353	0.727272727272727	0.840909090909091	#FFFFFF	0
#FFFFFF	0.803030303030303	0.897727272727273	( 0 ,  Inf )	px=1.5; pz=4.2	16	0.752525252525252	0.853535353535353	0.840909090909091	0.954545454545454	#FFFFFF	0
#FFFFFF	0.904040404040404	0.102272727272727	( 0 ,  Inf )	px=2; pz=0.7	16	0.853535353535353	0.954545454545454	0.0454545454545455	0.159090909090909	#FFFFFF	0
#FFFFFF	0.904040404040404	0.215909090909091	( 0 ,  Inf )	px=2; pz=1.2	16	0.853535353535353	0.954545454545454	0.159090909090909	0.272727272727273	#FFFFFF	0
#FFFFFF	0.904040404040404	0.329545454545455	( 0 ,  Inf )	px=2; pz=1.7	16	0.853535353535353	0.954545454545454	0.272727272727273	0.386363636363636	#FFFFFF	0
#FFFFFF	0.904040404040404	0.443181818181818	( 0 ,  Inf )	px=2; pz=2.2	16	0.853535353535353	0.954545454545454	0.386363636363636	0.5	#FFFFFF	0
#FFFFFF	0.904040404040404	0.556818181818182	( 0 ,  Inf )	px=2; pz=2.7	16	0.853535353535353	0.954545454545454	0.5	0.613636363636364	#FFFFFF	0
#FFFFFF	0.904040404040404	0.670454545454545	( 0 ,  Inf )	px=2; pz=3.2	16	0.853535353535353	0.954545454545454	0.613636363636364	0.727272727272727	#FFFFFF	0
#FFFFFF	0.904040404040404	0.784090909090909	( 0 ,  Inf )	px=2; pz=3.7	16	0.853535353535353	0.954545454545454	0.727272727272727	0.840909090909091	#FFFFFF	0
#FFFFFF	0.904040404040404	0.897727272727273	( 0 ,  Inf )	px=2; pz=4.2	16	0.853535353535353	0.954545454545454	0.840909090909091	0.954545454545454	#FFFFFF	0
#FFFFFF	0.095959595959596	0.102272727272727	( 0 ,  Inf )	px=-2; pz=0.7	17	0.0454545454545455	0.146464646464646	0.0454545454545455	0.159090909090909	#FFFFFF	0
#FFFFFF	0.095959595959596	0.215909090909091	( 0 ,  Inf )	px=-2; pz=1.2	17	0.0454545454545455	0.146464646464646	0.159090909090909	0.272727272727273	#FFFFFF	0
#FFFFFF	0.095959595959596	0.329545454545455	( 0 ,  Inf )	px=-2; pz=1.7	17	0.0454545454545455	0.146464646464646	0.272727272727273	0.386363636363636	#FFFFFF	0
#FFFFFF	0.095959595959596	0.443181818181818	( 0 ,  Inf )	px=-2; pz=2.2	17	0.0454545454545455	0.146464646464646	0.386363636363636	0.5	#FFFFFF	0
#FFFFFF	0.095959595959596	0.556818181818182	( 0 ,  Inf )	px=-2; pz=2.7	17	0.0454545454545455	0.146464646464646	0.5	0.613636363636364	#FFFFFF	0
#FFFFFF	0.095959595959596	0.670454545454545	( 0 ,  Inf )	px=-2; pz=3.2	17	0.0454545454545455	0.146464646464646	0.613636363636364	0.727272727272727	#FFFFFF	0
#FFFFFF	0.095959595959596	0.784090909090909	( 0 ,  Inf )	px=-2; pz=3.7	17	0.0454545454545455	0.146464646464646	0.727272727272727	0.840909090909091	#FFFFFF	0
#FFFFFF	0.095959595959596	0.897727272727273	( 0 ,  Inf )	px=-2; pz=4.2	17	0.0454545454545455	0.146464646464646	0.840909090909091	0.954545454545454	#FFFFFF	0
#FFFFFF	0.196969696969697	0.102272727272727	( 0 ,  Inf )	px=-1.5; pz=0.7	17	0.146464646464646	0.247474747474747	0.0454545454545455	0.159090909090909	#FFFFFF	0
#FFFFFF	0.196969696969697	0.215909090909091	( 0 ,  Inf )	px=-1.5; pz=1.2	17	0.146464646464646	0.247474747474747	0.159090909090909	0.272727272727273	#FFFFFF	0
#FFFFFF	0.196969696969697	0.329545454545455	( 0 ,  Inf )	px=-1.5; pz=1.7	17	0.146464646464646	0.247474747474747	0.272727272727273	0.386363636363636	#FFFFFF	0
#F7F7FB	0.196969696969697	0.443181818181818	( 0.04 ,  1.28 )	px=-1.5; pz=2.2	17	0.146464646464646	0.247474747474747	0.386363636363636	0.5	#F7F7FB	0
#F7F7FA	0.196969696969697	0.556818181818182	( 0.03 ,  1.18 )	px=-1.5; pz=2.7	17	0.146464646464646	0.247474747474747	0.5	0.613636363636364	#F7F7FA	0
#FEFEFE	0.196969696969697	0.670454545454545	( 0 ,  Inf )	px=-1.5; pz=3.2	17	0.146464646464646	0.247474747474747	0.613636363636364	0.727272727272727	#FEFEFE	0
#FFFFFF	0.196969696969697	0.784090909090909	( 0 ,  Inf )	px=-1.5; pz=3.7	17	0.146464646464646	0.247474747474747	0.727272727272727	0.840909090909091	#FFFFFF	0
#FFFFFF	0.196969696969697	0.897727272727273	( 0 ,  Inf )	px=-1.5; pz=4.2	17	0.146464646464646	0.247474747474747	0.840909090909091	0.954545454545454	#FFFFFF	0
#FEFEFE	0.297979797979798	0.102272727272727	( 0 ,  Inf )	px=-1; pz=0.7	17	0.247474747474747	0.348484848484849	0.0454545454545455	0.159090909090909	#FEFEFE	0
#FEFEFE	0.297979797979798	0.215909090909091	( 0 ,  Inf )	px=-1; pz=1.2	17	0.247474747474747	0.348484848484849	0.159090909090909	0.272727272727273	#FEFEFE	0
#C69C9C	0.297979797979798	0.329545454545455	( 1.73 ,  4.75 )	px=-1; pz=1.7	17	0.247474747474747	0.348484848484849	0.272727272727273	0.386363636363636	#C69C9C	0
