x	xend	tooltip	PANEL	group
0.0538205377027604	0.0616689670144874	( 0.01 ,  0.02 )	1	1
0.0464204972674441	0.0499701294476457	( 0 ,  0 )	1	2
0.0563901139206031	0.0684509714234495	( 0.01 ,  0.03 )	2	3
0.0478850804069815	0.0558441956163027	( 0 ,  0.01 )	2	4
0.0459726909158514	0.0540599364079992	( 0 ,  0.01 )	3	5
0.0454545454545455	0.0485458001543141	( 0 ,  0 )	3	6
0.0454545454545454	0.0518111082891963	( 0 ,  0.01 )	4	7
0.0454545454545454	0.0518158938197145	( 0 ,  0.01 )	4	8
0.0454545454545455	0.0636605966391075	( 0 ,  0.02 )	5	9
0.0454545454545455	0.0516760916527751	( 0 ,  0.01 )	5	10
0.0454545454545455	0.0550355408715716	( 0 ,  0.01 )	6	11
0.0454545454545455	0.051410289383305	( 0 ,  0.01 )	6	12
0.0526774518542944	0.065289426414214	( 0.01 ,  0.02 )	7	13
0.0454545454545455	0.0481178513342617	( 0 ,  0 )	7	14
0.0556242174158985	0.0735839967774293	( 0.01 ,  0.03 )	8	15
0.0454545454545455	0.0556529761493741	( 0 ,  0.01 )	8	16
0.0463080977794171	0.0548202491216418	( 0 ,  0.01 )	9	17
0.0454545454545455	0.0507279710328229	( 0 ,  0.01 )	9	18
0.0480423569001237	0.0633985153619519	( 0 ,  0.02 )	10	19
0.0454545454545454	0.0531756679960336	( 0 ,  0.01 )	10	20
0.0454545454545455	0.0493398292235792	( 0 ,  0 )	11	21
0.0454545454545455	0.0506940144463405	( 0 ,  0.01 )	11	22
0.0454545454545455	0.0574427700014723	( 0 ,  0.01 )	12	23
0.0454545454545455	0.0504006589315256	( 0 ,  0.01 )	12	24
0.0499471386500922	0.0707379017290213	( 0 ,  0.03 )	13	25
0.0454545454545455	0.055986119063279	( 0 ,  0.01 )	13	26
0.0467830958588421	0.0738010610171572	( 0 ,  0.03 )	14	27
0.0454545454545455	0.0584362448569319	( 0 ,  0.01 )	14	28
0.0454545454545455	0.0552833776584638	( 0 ,  0.01 )	15	29
0.0454545454545455	0.0596001057544731	( 0 ,  0.02 )	15	30
0.04626379989179	0.0735474418690535	( 0 ,  0.03 )	16	31
0.0454545454545455	0.0610319904236697	( 0 ,  0.02 )	16	32
0.0454545454545455	0.0534644219296957	( 0 ,  0.01 )	17	33
0.0454545454545455	0.0522741074373267	( 0 ,  0.01 )	17	34
0.0454545454545455	0.0517725894798807	( 0 ,  0.01 )	18	35
0.0454545454545455	0.0556162463404615	( 0 ,  0.01 )	18	36
0.0548047539097637	0.0980598953111476	( 0.01 ,  0.06 )	19	37
0.0454545454545455	0.0621305700467592	( 0 ,  0.02 )	19	38
0.0454545454545455	0.0843511055371009	( 0 ,  0.04 )	20	39
0.0454545454545455	0.066172490948554	( 0 ,  0.02 )	20	40
0.0476913510643095	0.0712025802050662	( 0 ,  0.03 )	21	41
0.0454545454545455	0.0608048353923838	( 0 ,  0.02 )	21	42
0.0460215488084113	0.10184741123596	( 0 ,  0.06 )	22	43
0.0454545454545455	0.0522554058563563	( 0 ,  0.01 )	22	44
0.0454545454545455	0.0572467728645139	( 0 ,  0.01 )	23	45
0.0454545454545455	0.0556929682970385	( 0 ,  0.01 )	23	46
0.0454545454545455	0.0517401942663669	( 0 ,  0.01 )	24	47
0.0454545454545455	0.0633295752841426	( 0 ,  0.02 )	24	48
