x	xend	tooltip	PANEL	group
0.856957169156429	0.882685234296188	( 0.89 ,  0.92 )	1	1
0.884931581634493	0.907224295372199	( 0.92 ,  0.95 )	1	2
0.89811688873087	0.911613462763225	( 0.94 ,  0.95 )	2	3
0.900362944926854	0.915735197412697	( 0.94 ,  0.96 )	2	4
0.706192851712018	0.802442531354167	( 0.72 ,  0.83 )	3	5
0.731567673149655	0.824638151505915	( 0.75 ,  0.85 )	3	6
0.765160683970171	0.834994628207368	( 0.79 ,  0.87 )	4	7
0.778869126353562	0.855043547800316	( 0.8 ,  0.89 )	4	8
0.581801449712772	0.81652283312526	( 0.59 ,  0.85 )	5	9
0.739456822644872	0.910436211697141	( 0.76 ,  0.95 )	5	10
0.678327061128179	0.849864118234877	( 0.69 ,  0.88 )	6	11
0.719393692863068	0.874310088067798	( 0.74 ,  0.91 )	6	12
0.843771763040904	0.889626885042331	( 0.88 ,  0.93 )	7	13
0.875142978814353	0.914468028303979	( 0.91 ,  0.96 )	7	14
0.896514387136345	0.920549698899072	( 0.94 ,  0.96 )	8	15
0.890708502106782	0.921061014950273	( 0.93 ,  0.96 )	8	16
0.768287675442298	0.852429483797944	( 0.79 ,  0.89 )	9	17
0.780334994892443	0.868185259525169	( 0.81 ,  0.9 )	9	18
0.792070724645051	0.860107708127329	( 0.82 ,  0.9 )	10	19
0.82558362287754	0.892248194855075	( 0.86 ,  0.93 )	10	20
0.719979510154155	0.868698922773699	( 0.74 ,  0.91 )	11	21
0.754349501258142	0.890723176816277	( 0.78 ,  0.93 )	11	22
0.769824920104131	0.889301206347691	( 0.79 ,  0.93 )	12	23
0.767822411720987	0.890239242021883	( 0.79 ,  0.93 )	12	24
0.849632573313527	0.91116429756539	( 0.88 ,  0.95 )	13	25
0.881052571849603	0.932083683739002	( 0.92 ,  0.98 )	13	26
0.897565543678015	0.930628332093985	( 0.94 ,  0.97 )	14	27
0.880843362699983	0.929300883043165	( 0.92 ,  0.97 )	14	28
0.778092865435171	0.879790789751319	( 0.81 ,  0.92 )	15	29
0.842940036632526	0.919293653743834	( 0.88 ,  0.96 )	15	30
0.828426851761942	0.899725044978854	( 0.86 ,  0.94 )	16	31
0.876484953982535	0.9332257022934	( 0.91 ,  0.98 )	16	32
0.672982311553242	0.837082670669641	( 0.69 ,  0.87 )	17	33
0.83365888560321	0.92545293640726	( 0.87 ,  0.97 )	17	34
0.753451521942313	0.879490825665109	( 0.78 ,  0.92 )	18	35
0.774307454127517	0.904805709937883	( 0.8 ,  0.95 )	18	36
0.917516884570519	0.947344548925455	( 0.96 ,  0.99 )	19	37
0.890520107743943	0.941514810285183	( 0.93 ,  0.99 )	19	38
0.921581578042476	0.945793462705414	( 0.96 ,  0.99 )	20	39
0.916978772095006	0.949152900885477	( 0.96 ,  0.99 )	20	40
0.827492167267993	0.916938748544416	( 0.86 ,  0.96 )	21	41
0.818480366660296	0.92137684540357	( 0.85 ,  0.96 )	21	42
0.846589650024372	0.924002349135675	( 0.88 ,  0.97 )	22	43
0.868900810194924	0.94017170638051	( 0.91 ,  0.98 )	22	44
0.695337188924694	0.89498373514582	( 0.71 ,  0.93 )	23	45
0.856090152261369	0.946708227300762	( 0.89 ,  0.99 )	23	46
0.784759110454542	0.911356175485344	( 0.81 ,  0.95 )	24	47
0.824373252727434	0.930406229841235	( 0.86 ,  0.97 )	24	48
