x	xend	tooltip	PANEL	group
0.102240320164202	0.142328348599264	( 0.06 ,  0.11 )	1	1
0.0659638092692794	0.0948058595045227	( 0.02 ,  0.05 )	1	2
0.246109512242008	0.282461710158792	( 0.22 ,  0.26 )	2	3
0.140133032784171	0.173895709735971	( 0.1 ,  0.14 )	2	4
0.069472735735944	0.107760591596244	( 0.03 ,  0.07 )	3	5
0.0564252511402756	0.0878436237918311	( 0.01 ,  0.05 )	3	6
0.116348318393573	0.161908369481923	( 0.08 ,  0.13 )	4	7
0.0742661247659834	0.113184249416398	( 0.03 ,  0.07 )	4	8
0.0662644027382646	0.140813117727199	( 0.02 ,  0.1 )	5	9
0.0454545454545455	0.0803875592008386	( 0 ,  0.04 )	5	10
0.0717827789304656	0.126527885240312	( 0.03 ,  0.09 )	6	11
0.06674468482229	0.120519818878847	( 0.02 ,  0.08 )	6	12
0.130663157520995	0.212033184212649	( 0.09 ,  0.18 )	7	13
0.0567293011071795	0.0986696093759191	( 0.01 ,  0.06 )	7	14
0.271667758800744	0.341512220325263	( 0.25 ,  0.33 )	8	15
0.142893432934131	0.206473289249137	( 0.11 ,  0.18 )	8	16
0.0700114131843822	0.11403938620484	( 0.03 ,  0.08 )	9	17
0.0522297274697825	0.083758184177222	( 0.01 ,  0.04 )	9	18
0.149264224539582	0.211614339755434	( 0.11 ,  0.18 )	10	19
0.115475167871749	0.178033569992573	( 0.08 ,  0.15 )	10	20
0.0629991306589794	0.112524938235783	( 0.02 ,  0.07 )	11	21
0.059738743549797	0.114506341253492	( 0.02 ,  0.08 )	11	22
0.107261226544863	0.184483053192152	( 0.07 ,  0.15 )	12	23
0.0805236329273743	0.136515468629576	( 0.04 ,  0.1 )	12	24
0.0868675918163439	0.215284328446919	( 0.05 ,  0.19 )	13	25
0.0454545454545455	0.125466494532862	( 0 ,  0.09 )	13	26
0.25296846343291	0.356280977843696	( 0.23 ,  0.34 )	14	27
0.129348391093472	0.229028072159643	( 0.09 ,  0.2 )	14	28
0.0748595475460825	0.173038852977022	( 0.03 ,  0.14 )	15	29
0.053838529272633	0.120665825062249	( 0.01 ,  0.08 )	15	30
0.151225646017353	0.240201254200266	( 0.12 ,  0.21 )	16	31
0.109525661567031	0.201971833350276	( 0.07 ,  0.17 )	16	32
0.0671286182782059	0.131697629424352	( 0.02 ,  0.09 )	17	33
0.05960293081592	0.118966314253014	( 0.02 ,  0.08 )	17	34
0.121241231063586	0.208041269764787	( 0.08 ,  0.18 )	18	35
0.0815264768062231	0.159783937409492	( 0.04 ,  0.13 )	18	36
0.0501564136970238	0.222903883124114	( 0.01 ,  0.2 )	19	37
0.0454545454545455	0.2273561594791	( 0 ,  0.2 )	19	38
0.173378448259858	0.323211970757439	( 0.14 ,  0.31 )	20	39
0.0712332310248733	0.207943453398941	( 0.03 ,  0.18 )	20	40
0.0514889617496279	0.174787820142153	( 0.01 ,  0.14 )	21	41
0.0454545454545455	0.103004882366998	( 0 ,  0.06 )	21	42
0.14684736784565	0.269063137669986	( 0.11 ,  0.25 )	22	43
0.0986756810506364	0.237443573919674	( 0.06 ,  0.21 )	22	44
0.049084126167229	0.117960533016868	( 0 ,  0.08 )	23	45
0.047835209831423	0.153029588585692	( 0 ,  0.12 )	23	46
0.0928181409709872	0.196343358358848	( 0.05 ,  0.17 )	24	47
0.102310988754334	0.228522884210758	( 0.06 ,  0.2 )	24	48
