x	xend	tooltip	PANEL	group
0.0454545454545455	0.0455713015883755	( 0 ,  0 )	1	1
0.0454545454545455	0.0454545467105608	( 0 ,  0 )	1	2
0.0454545454545454	0.0457453059353637	( 0 ,  0 )	2	3
0.0454545454545454	0.0454551574831903	( 0 ,  0 )	2	4
0.0454545454545455	0.0454655443990935	( 0 ,  0 )	3	5
0.0454545454545455	0.0462323365606567	( 0 ,  0 )	3	6
0.0454545454545454	0.0454583596020937	( 0 ,  0 )	4	7
0.0454545454545454	0.0454557131901469	( 0 ,  0 )	4	8
0.0454545454545455	0.0455318216301621	( 0 ,  0 )	5	9
0.0454545454545455	0.0454595988739826	( 0 ,  0 )	5	10
0.0454545454545455	0.0455953419740712	( 0 ,  0 )	6	11
0.0454545454545455	0.0454590358491646	( 0 ,  0 )	6	12
0.0454545454545455	0.047697007501606	( 0 ,  0 )	7	13
0.0454545454545455	0.0454545523301536	( 0 ,  0 )	7	14
0.0454545454545455	0.0617795864800619	( 0 ,  0.02 )	8	15
0.0454545454545455	0.0454855798936741	( 0 ,  0 )	8	16
0.0454545454545455	0.0461388039789676	( 0 ,  0 )	9	17
0.0454545454545455	0.0454549129677715	( 0 ,  0 )	9	18
0.0454545454545454	0.0455120661842444	( 0 ,  0 )	10	19
0.0454545454545454	0.0454567028388137	( 0 ,  0 )	10	20
0.0454545454545455	0.0454803347609734	( 0 ,  0 )	11	21
0.0454545454545455	0.0454571964572508	( 0 ,  0 )	11	22
0.0454545454545455	0.0454646917756485	( 0 ,  0 )	12	23
0.0454545454545455	0.0455307746314139	( 0 ,  0 )	12	24
0.0454545454545455	0.046469698222725	( 0 ,  0 )	13	25
0.0454545454545455	0.0454602468221391	( 0 ,  0 )	13	26
0.0454545454545455	0.0466344258939625	( 0 ,  0 )	14	27
0.0454545454545455	0.0454661286522598	( 0 ,  0 )	14	28
0.0454545454545455	0.0458293839785088	( 0 ,  0 )	15	29
0.0454545454545455	0.0454649584779938	( 0 ,  0 )	15	30
0.0454545454545455	0.0458498917910641	( 0 ,  0 )	16	31
0.0454545454545455	0.0456954272675264	( 0 ,  0 )	16	32
0.0454545454545455	0.0454643977164084	( 0 ,  0 )	17	33
0.0454545454545455	0.0454652740248913	( 0 ,  0 )	17	34
0.0454545454545455	0.0455923677742313	( 0 ,  0 )	18	35
0.0454545454545455	0.0455716246629936	( 0 ,  0 )	18	36
0.0454545454545455	0.0525925105305563	( 0 ,  0.01 )	19	37
0.0454545454545455	0.0454843194465155	( 0 ,  0 )	19	38
0.0454545454545455	0.0455312433156374	( 0 ,  0 )	20	39
0.0454545454545455	0.0455024939239469	( 0 ,  0 )	20	40
0.0454545454545455	0.0465942914707795	( 0 ,  0 )	21	41
0.0454545454545455	0.0454947121311313	( 0 ,  0 )	21	42
0.0454545454545455	0.0491094765159556	( 0 ,  0 )	22	43
0.0454545454545455	0.0454700305705948	( 0 ,  0 )	22	44
0.0454545454545455	0.0454935814814805	( 0 ,  0 )	23	45
0.0454545454545455	0.0455187689549966	( 0 ,  0 )	23	46
0.0454545454545455	0.0454717711455237	( 0 ,  0 )	24	47
0.0454545454545455	0.0456671478767034	( 0 ,  0 )	24	48
