x	xend	tooltip	PANEL	group
0.0454545454545455	0.0455909030074684	( 0 ,  0 )	1	1
0.0454545454545455	0.0454546510479195	( 0 ,  0 )	1	2
0.0454626388125073	0.0459867730374745	( 0 ,  0 )	2	3
0.0454545454545454	0.0454552408404176	( 0 ,  0 )	2	4
0.0454545454545455	0.0454654600765843	( 0 ,  0 )	3	5
0.0454545454545455	0.0454644024096196	( 0 ,  0 )	3	6
0.0454545454545454	0.0454871121085485	( 0 ,  0 )	4	7
0.0454545454545454	0.0454545639240265	( 0 ,  0 )	4	8
0.0454545454545455	0.0454817373953604	( 0 ,  0 )	5	9
0.0454545454545455	0.0454658058298385	( 0 ,  0 )	5	10
0.0454545454545455	0.0456063245306644	( 0 ,  0 )	6	11
0.0454545454545455	0.0454612876387203	( 0 ,  0 )	6	12
0.0454545454545455	0.0463315615231424	( 0 ,  0 )	7	13
0.0454545454545455	0.0454567334699247	( 0 ,  0 )	7	14
0.0454545454545455	0.0461831265390364	( 0 ,  0 )	8	15
0.0454545454545455	0.045569283730458	( 0 ,  0 )	8	16
0.0454545454545455	0.0456251577923871	( 0 ,  0 )	9	17
0.0454545454545455	0.0454552798810038	( 0 ,  0 )	9	18
0.0454545454545454	0.0462055133650396	( 0 ,  0 )	10	19
0.0454545454545454	0.0454710388517524	( 0 ,  0 )	10	20
0.0454545454545455	0.0455139287527474	( 0 ,  0 )	11	21
0.0454545454545455	0.0455200973716721	( 0 ,  0 )	11	22
0.0454545454545455	0.0455632698397041	( 0 ,  0 )	12	23
0.0454545454545455	0.0455156118761396	( 0 ,  0 )	12	24
0.0454545454545455	0.049919155936247	( 0 ,  0 )	13	25
0.0454545454545455	0.0454796585609027	( 0 ,  0 )	13	26
0.0454545454545455	0.0461363062778851	( 0 ,  0 )	14	27
0.0454545454545455	0.0454634793080446	( 0 ,  0 )	14	28
0.0454545454545455	0.0458975080528609	( 0 ,  0 )	15	29
0.0454545454545455	0.0454872204547637	( 0 ,  0 )	15	30
0.0454545454545455	0.0455046807737009	( 0 ,  0 )	16	31
0.0454545454545455	0.0454655310300593	( 0 ,  0 )	16	32
0.0454545454545455	0.045616957924748	( 0 ,  0 )	17	33
0.0454545454545455	0.0455040178499474	( 0 ,  0 )	17	34
0.0454545454545455	0.0461252279981767	( 0 ,  0 )	18	35
0.0454545454545455	0.0454616769773559	( 0 ,  0 )	18	36
0.0454545454545455	0.0460667014323485	( 0 ,  0 )	19	37
0.0454545454545455	0.0455538333575906	( 0 ,  0 )	19	38
0.0454545454545455	0.0509808953110028	( 0 ,  0.01 )	20	39
0.0454545454545455	0.0455113242845242	( 0 ,  0 )	20	40
0.0454545454545455	0.0476694401815312	( 0 ,  0 )	21	41
0.0454545454545455	0.0456485719915854	( 0 ,  0 )	21	42
0.0454545454545455	0.0457133399495346	( 0 ,  0 )	22	43
0.0454545454545455	0.0454610005406622	( 0 ,  0 )	22	44
0.0454545454545455	0.0463361625877146	( 0 ,  0 )	23	45
0.0454545454545455	0.0454613653582717	( 0 ,  0 )	23	46
0.0454545454545455	0.0460148833964165	( 0 ,  0 )	24	47
0.0454545454545455	0.045504260216757	( 0 ,  0 )	24	48
